hXX,simID,pop,subset_value,prop_ROH_single,prpp_Non_ROH_single,prop_ROH_homo,prop_Non_ROH_homo,mean_count_single,mean_count_homo
h00,1364957052074976682,p1,0.3,0.09592147944199973,0.9040785205580003,0.1733945100232622,0.8266054899767378,39.41,17.956
h00,1364957052074976682,p2,0.3,0.17253474229840743,0.8274652577015925,0.27601074636719675,0.7239892536328032,35.168,19.352
h00,1364957052074976682,p3,0.3,0.17559603623793532,0.8244039637620647,0.26668283461352515,0.733317165386475,28.844,17.576
h00,1364957052074976682,p1,1.0,0.0963349045773252,0.9036650954226748,0.16562505403162497,0.8343749459683749,118.766,57.706
h00,1364957052074976682,p2,1.0,0.18619430867291664,0.8138056913270835,0.28543761553213287,0.7145623844678671,109.652,64.718
h00,1364957052074976682,p3,1.0,0.2059777531745781,0.7940222468254219,0.31198902571895887,0.6880109742810412,99.482,60.702
h00,1408911269877720474,p1,0.3,0.10077927073359698,0.8992207292664031,0.17164052476591177,0.8283594752340883,30.104,15.298
h00,1408911269877720474,p2,0.3,0.18217094510162885,0.8178290548983712,0.27320449007701,0.72679550992299,31.4,18.382
h00,1408911269877720474,p3,0.3,0.19541848805175577,0.8045815119482442,0.28169792652308134,0.7183020734769187,27.802,17.534
h00,1408911269877720474,p1,1.0,0.09462615466620146,0.9053738453337987,0.1609199036269801,0.83908009637302,109.148,53.964
h00,1408911269877720474,p2,1.0,0.18195012029185295,0.818049879708147,0.26986855203644666,0.7301314479635533,100.086,60.582
h00,1408911269877720474,p3,1.0,0.20875592398661932,0.7912440760133806,0.3088985499799502,0.6911014500200497,95.482,59.642
h00,1445831990664690369,p1,0.3,0.08385901452753902,0.9161409854724609,0.13334283861992838,0.8666571613800718,31.96,16.222
h00,1445831990664690369,p2,0.3,0.17279279340997425,0.8272072065900259,0.26126865109860603,0.738731348901394,32.796,19.824
h00,1445831990664690369,p3,0.3,0.19241541707463564,0.8075845829253644,0.2883691075611994,0.7116308924388006,31.868,18.636
h00,1445831990664690369,p1,1.0,0.08595096473361996,0.91404903526638,0.13221433840236552,0.8677856615976345,102.864,53.876
h00,1445831990664690369,p2,1.0,0.1878188111143415,0.8121811888856586,0.27725864898564634,0.7227413510143536,101.082,61.686
h00,1445831990664690369,p3,1.0,0.19663377023385636,0.8033662297661437,0.28953641272686725,0.7104635872731329,95.77,59.09
h00,1457999149615807420,p1,0.3,0.09218614290763395,0.9078138570923661,0.16654178419619595,0.8334582158038042,28.4,13.13
h00,1457999149615807420,p2,0.3,0.2075310501802847,0.7924689498197154,0.2887920766625875,0.7112079233374125,24.138,15.39
h00,1457999149615807420,p3,0.3,0.23576379780956916,0.7642362021904309,0.34236876657913806,0.6576312334208619,24.432,15.124
h00,1457999149615807420,p1,1.0,0.0952938164906871,0.904706183509313,0.15818875241964864,0.8418112475803514,108.542,54.422
h00,1457999149615807420,p2,1.0,0.18997389587035013,0.8100261041296498,0.27432957857810425,0.7256704214218958,104.404,65.734
h00,1457999149615807420,p3,1.0,0.22030622717556073,0.7796937728244392,0.3230294321545612,0.6769705678454387,101.864,63.946
h00,1463814346912061226,p1,0.3,0.10496160961086182,0.8950383903891381,0.19515109460132007,0.80484890539868,37.128,16.852
h00,1463814346912061226,p2,0.3,0.20400526867407565,0.7959947313259244,0.3317470362806007,0.6682529637193994,32.928,18.764
h00,1463814346912061226,p3,0.3,0.19114759469526807,0.8088524053047319,0.32892992774451585,0.6710700722554841,31.926,17.126
h00,1463814346912061226,p1,1.0,0.10391367239648489,0.8960863276035153,0.16711184396738332,0.8328881560326168,116.252,61.782
h00,1463814346912061226,p2,1.0,0.1961875743868413,0.8038124256131587,0.2802228433714509,0.719777156628549,104.46,67.454
h00,1463814346912061226,p3,1.0,0.20923870911350717,0.7907612908864928,0.30605045364287653,0.6939495463571235,104.186,66.412
h00,1471689743914301753,p1,0.3,0.09875587416412789,0.9012441258358722,0.19820663715369596,0.801793362846304,26.924,10.254
h00,1471689743914301753,p2,0.3,0.18938438462929147,0.8106156153707085,0.34123932074117835,0.6587606792588218,28.554,14.202
h00,1471689743914301753,p3,0.3,0.20959790101245612,0.7904020989875439,0.36341390894966746,0.6365860910503326,27.146,14.052
h00,1471689743914301753,p1,1.0,0.09435415593209348,0.9056458440679065,0.16288095589469828,0.8371190441053018,104.914,49.704
h00,1471689743914301753,p2,1.0,0.18302157487799128,0.8169784251220087,0.3008602757413157,0.6991397242586843,104.518,58.242
h00,1471689743914301753,p3,1.0,0.20610859263848516,0.7938914073615149,0.3242101550165479,0.675789844983452,101.862,59.58
h00,1496704753167729159,p1,0.3,0.09048955969824508,0.9095104403017549,0.14775391296869622,0.8522460870313038,32.664,16.44
h00,1496704753167729159,p2,0.3,0.18725251484727062,0.8127474851527295,0.28918614593816167,0.7108138540618384,31.122,18.09
h00,1496704753167729159,p3,0.3,0.22211855103741435,0.7778814489625856,0.3500027186959553,0.6499972813040447,33.45,19.92
h00,1496704753167729159,p1,1.0,0.09676984077981783,0.9032301592201822,0.1474631893803714,0.8525368106196286,118.176,66.52
h00,1496704753167729159,p2,1.0,0.1851844040727921,0.814815595927208,0.2616208540322379,0.738379145967762,107.982,69.772
h00,1496704753167729159,p3,1.0,0.2287085088329442,0.7712914911670559,0.31606118309148595,0.6839388169085141,108.54,73.27
h00,1509754406400523100,p1,0.3,0.09981213370080545,0.9001878662991947,0.2044157564657565,0.7955842435342436,26.584,9.598
h00,1509754406400523100,p2,0.3,0.19483052240606133,0.8051694775939386,0.33340353257853256,0.6665964674214674,23.108,11.658
h00,1509754406400523100,p3,0.3,0.22938488386651062,0.7706151161334894,0.37845409753645043,0.6215459024635495,23.172,12.12
h00,1509754406400523100,p1,1.0,0.09784675892616491,0.902153241073835,0.16909097944154647,0.8309090205584536,97.822,46.258
h00,1509754406400523100,p2,1.0,0.1939081052392043,0.8060918947607958,0.30897910047771326,0.6910208995222867,87.746,49.454
h00,1509754406400523100,p3,1.0,0.21036565488976933,0.7896343451102307,0.32945009173952244,0.6705499082604776,88.544,50.516
h00,1513359600866312384,p1,0.3,0.09643649104956308,0.9035635089504369,0.1722130544292309,0.8277869455707692,29.604,12.856
h00,1513359600866312384,p2,0.3,0.1491983605691888,0.8508016394308111,0.2503565904683551,0.7496434095316448,25.652,13.66
h00,1513359600866312384,p3,0.3,0.2039860096507635,0.7960139903492366,0.32640203058035877,0.6735979694196412,25.446,13.786
h00,1513359600866312384,p1,1.0,0.10022865742624161,0.8997713425737583,0.15853809436798633,0.8414619056320136,118.364,63.108
h00,1513359600866312384,p2,1.0,0.16337446410730377,0.8366255358926964,0.25249226650926093,0.7475077334907392,113.128,67.422
h00,1513359600866312384,p3,1.0,0.21340816469070997,0.78659183530929,0.30946865703792514,0.6905313429620749,108.722,69.494
h00,1517243854596332318,p1,0.3,0.09469592225013194,0.9053040777498682,0.16022879363498557,0.8397712063650145,30.17,14.814
h00,1517243854596332318,p2,0.3,0.17106510040197093,0.828934899598029,0.2703290997444248,0.7296709002555751,27.474,15.362
h00,1517243854596332318,p3,0.3,0.1922144463564187,0.8077855536435814,0.28167097933885854,0.7183290206611413,24.938,15.82
h00,1517243854596332318,p1,1.0,0.09588910116824231,0.9041108988317577,0.15683256098840417,0.8431674390115959,101.72,52.578
h00,1517243854596332318,p2,1.0,0.18488552683093604,0.815114473169064,0.280197939907919,0.719802060092081,91.46,54.502
h00,1517243854596332318,p3,1.0,0.20911319786380653,0.7908868021361936,0.3020009231205541,0.697999076879446,85.568,55.144
h00,155683629558891336,p1,0.3,0.10072929365116373,0.8992707063488362,0.15492896032416156,0.8450710396758385,31.37,17.078
h00,155683629558891336,p2,0.3,0.1894532537214103,0.8105467462785897,0.2747890810058161,0.7252109189941839,31.818,19.448
h00,155683629558891336,p3,0.3,0.22733666768407138,0.7726633323159287,0.32423403777210213,0.6757659622278979,31.762,20.14
h00,155683629558891336,p1,1.0,0.09634808109295898,0.903651918907041,0.15258053566576055,0.8474194643342393,106.852,56.23
h00,155683629558891336,p2,1.0,0.1903967578479046,0.8096032421520953,0.2838773739421497,0.7161226260578503,106.754,64.71
h00,155683629558891336,p3,1.0,0.21838739210494684,0.781612607895053,0.30136256780942483,0.6986374321905752,101.144,66.378
h00,1570311740684473341,p1,0.3,0.1039698595794763,0.8960301404205238,0.18970710955710957,0.8102928904428904,25.298,10.146
h00,1570311740684473341,p2,0.3,0.16168099597573532,0.8383190040242647,0.2684786657786658,0.7315213342213343,21.08,11.248
h00,1570311740684473341,p3,0.3,0.22417972801877775,0.7758202719812223,0.3780601176601176,0.6219398823398824,20.308,10.374
h00,1570311740684473341,p1,1.0,0.09441115190635223,0.9055888480936478,0.1756063993429371,0.8243936006570629,92.848,40.2
h00,1570311740684473341,p2,1.0,0.17075060029703332,0.8292493997029667,0.2766225440734788,0.7233774559265211,82.802,46.094
