"pop","tau","unit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"European",0.8,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,5349,0.000000000000000000000000000000000000000000000000000000000000000000000296,0.000000000000000000000000000000000000000000000000000000000000000000000296,"***"
"European",0.8,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,105332,0.000000000000000000000000000000000000000745,0.000000000000000000000000000000000000000745,"***"
"European",0.8,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13574,0.000000000000000000000000000000000000000000000000000518,0.00000000000000000000000000000000000000000000000000104,"***"
"European",0.8,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,6542,0.000000000000000000000000000000000000000000000000000000000000000000196,0.000000000000000000000000000000000000000000000000000000000000000000588,"***"
"European",0.8,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,85,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000211,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,350,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000103,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000206,"***"
"European",0.9,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
