hXX,simID,pop,class,length_Mb,length_cM
h00,1517243854596332318,p1,C,1.278167212230216,1.977423417266187
h00,1517243854596332318,p2,A,0.06891132847159598,0.04797346428235267
h00,1517243854596332318,p2,B,0.2657859335402244,0.3743266409674205
h00,1517243854596332318,p2,C,0.8455536822612085,1.664331822612086
h00,1517243854596332318,p3,A,0.07596427370470946,0.054879245380584904
h00,1517243854596332318,p3,B,0.2632814250538941,0.36651624977107616
h00,1517243854596332318,p3,C,0.9543033968253968,1.5909020634920636
h00,155683629558891336,p1,A,0.04006380169857586,0.024058187531682176
h00,155683629558891336,p1,B,0.2949992143991973,0.40560094820230935
h00,155683629558891336,p1,C,1.1500804174311927,1.7697221712538227
h00,155683629558891336,p2,A,0.0685377168779405,0.04788547216692188
h00,155683629558891336,p2,B,0.25334117314590165,0.3669590407758473
h00,155683629558891336,p2,C,1.355079577586207,2.2304779741379313
h00,155683629558891336,p3,A,0.07706591248987127,0.05566086750807521
h00,155683629558891336,p3,B,0.25240215816335426,0.3718440206401447
h00,155683629558891336,p3,C,0.8615068137254902,1.6578747058823529
h00,1570311740684473341,p1,A,0.04035247078911946,0.024156493604477053
h00,1570311740684473341,p1,B,0.3177660238185612,0.4105802200861021
h00,1570311740684473341,p1,C,1.2312531038812786,1.7538084474885847
h00,1570311740684473341,p2,A,0.06861056331907815,0.04765738932211753
h00,1570311740684473341,p2,B,0.26565868359897654,0.3738438356090024
h00,1570311740684473341,p2,C,1.1071121538461537,1.7642221666666666
h00,1570311740684473341,p3,A,0.07568786750526797,0.055536115571846595
h00,1570311740684473341,p3,B,0.2407594697946834,0.3692929485317541
h00,1570311740684473341,p3,C,0.8200358032581454,1.5250903007518797
h00,1579713873460986888,p1,A,0.039918000794027,0.025143393627146925
h00,1579713873460986888,p1,B,0.3084516168650794,0.3979019656893004
h00,1579713873460986888,p1,C,1.2382997933884297,1.8832000275482093
h00,1579713873460986888,p2,A,0.0696539133697825,0.04941286387471672
h00,1579713873460986888,p2,B,0.2644801954750416,0.36704443247280405
h00,1579713873460986888,p2,C,0.8804795367231638,1.5540130508474574
h00,1579713873460986888,p3,A,0.07458117156578861,0.05342740503594354
h00,1579713873460986888,p3,B,0.2515885315251457,0.3651478640677195
h00,1579713873460986888,p3,C,0.6964976681096682,1.6467323737373736
h00,1640035823564240350,p1,A,0.04017185501139643,0.024196730813900533
h00,1640035823564240350,p1,B,0.31332570913012764,0.4043615341950926
h00,1640035823564240350,p1,C,1.3278000156599554,1.7989658724832214
h00,1640035823564240350,p2,A,0.06714230188218731,0.04702046099071659
h00,1640035823564240350,p2,B,0.2551519648964005,0.36659464588034335
h00,1640035823564240350,p2,C,0.9303136422764228,1.6019263414634146
h00,1640035823564240350,p3,A,0.0747353525441071,0.053596375813724374
h00,1640035823564240350,p3,B,0.2442143747352401,0.3625581367423405
h00,1640035823564240350,p3,C,0.821126451724138,1.6371895862068966
h00,1667204476426382146,p1,A,0.04040660881241232,0.02399984655058017
h00,1667204476426382146,p1,B,0.3056088100190281,0.4060288557263206
