hXX,simID,pop,tau,subset_value,Total_V_G,Total_V_A,Total_V_D,Total_cov,Total_check,ROH_V_G,Non_ROH_V_G,ROH_cov,ROH_check
h00,103568543989312214,p1,0.9,0.3,1.147560666741447,0.3628605693344094,0.7798793405110661,0.0048207568959717,2.220446049250313e-16,1.1335498646263664,0.0081297795122295,0.0029405113014254,-2.220446049250313e-16
h00,103568543989312214,p1,1.0,0.3,1.2699560184077825,0.4148393497153719,0.8490397685410506,0.00607690015136,4.440892098500626e-16,1.2582082842889388,0.005167775446572,0.0032899793361361,8.881784197001252e-16
h00,103568543989312214,p1,1.1,0.3,1.3753344166492494,0.4626258195613781,0.9052351259849832,0.0074734711028882,2.220446049250313e-16,1.3648116008657922,0.0032421643603129,0.0036403257115722,2.220446049250313e-16
h00,103568543989312214,p1,1.2,0.3,1.469784869405674,0.5075096067705841,0.953532798515228,0.0087424641198621,2.220446049250313e-16,1.4598400723794056,0.0020556116899184,0.0039445926681749,-2.220446049250313e-16
h00,103568543989312214,p1,1.3,0.3,1.5573702904879814,0.5503337489244122,0.9972855073713608,0.0097510341922086,4.440892098500626e-16,1.5476420052414068,0.0013492352025668,0.0041895250220034,-8.881784197001252e-16
h00,103568543989312214,p2,0.7,0.3,0.1984486340079762,0.0368114758410464,0.1651454863929359,-0.0035083282260061,0.0,0.1815242329462131,0.0167051173780144,0.0001096418418742,0.0
h00,103568543989312214,p2,0.8,0.3,0.1786405197339072,0.0322864735367678,0.148914624679252,-0.0025605784821126,-5.551115123125783e-17,0.1662721465764421,0.0123602337783266,4.069689569250007e-06,-2.775557561562892e-17
h00,103568543989312214,p2,0.9,0.3,0.1515627914078126,0.0270821876233958,0.1260807606976956,-0.0016001569132788,-2.775557561562892e-17,0.1430117092849056,0.0085833324646112,-1.612517085216105e-05,2.775557561562892e-17
h00,103568543989312214,p2,1.0,0.3,0.1237494145244029,0.0220161418676189,0.1025846874289521,-0.000851414772168,4.163336342344337e-17,0.1180477154179913,0.0057130137747332,-5.657334160807307e-06,-1.3877787807814457e-17
h00,103568543989312214,p2,1.1,0.3,0.0985201994706937,0.0175099306043385,0.0813586675218366,-0.0003483986554814,-1.3877787807814457e-17,0.0948051091629589,0.0036966363343003,9.22698671721988e-06,-2.775557561562892e-17
h00,103568543989312214,p2,1.2,0.3,0.077062685301652,0.0137044045841145,0.0634048890036006,-4.660828606320717e-05,1.3877787807814457e-17,0.0746773714858892,0.0023457581901736,1.977781279455162e-05,0.0
h00,103568543989312214,p2,1.3,0.3,0.0594856999351181,0.0105931367869928,0.0487788370493662,0.000113726098759,-2.0816681711721685e-17,0.0579682947287346,0.0014677407795273,2.483221342804888e-05,0.0
h00,103568543989312214,p3,0.7,0.3,0.1272236956794816,0.0235647126714687,0.1033188394551554,0.0003401435528574,0.0,0.0769504637678255,0.0510711832707257,-0.0003989756795348,0.0
h00,103568543989312214,p3,0.8,0.3,0.1236690989876953,0.0216008724482962,0.1016643940304927,0.0004038325089063,1.3877787807814457e-17,0.0736133429140016,0.0507716670760376,-0.000357955501172,-1.3877787807814457e-17
h00,103568543989312214,p3,0.9,0.3,0.1133459533368114,0.0190678399034557,0.0938618276788532,0.0004162857545023,-1.3877787807814457e-17,0.0673526969653669,0.046570922746349,-0.0002888331874523,-4.163336342344337e-17
h00,103568543989312214,p3,1.0,0.3,0.0998927895144053,0.0163384738948747,0.083151122820891,0.0004031927986395,0.0,0.0598913635396936,0.0404425322241142,-0.0002205531247012,0.0
h00,103568543989312214,p3,1.1,0.3,0.0857622926529594,0.013701064170881,0.0716872348042891,0.0003739936777892,2.775557561562892e-17,0.0522687969333149,0.0338201061484935,-0.0001633052144245,0.0
h00,103568543989312214,p3,1.2,0.3,0.0722886094414922,0.0113085493685095,0.0606447582556317,0.000335301817351,1.3877787807814457e-17,0.0450045264261275,0.0275213288843652,-0.0001186229345002,-1.3877787807814457e-17
h00,103568543989312214,p3,1.3,0.3,0.0600974254525067,0.0092203237730903,0.0505845486172903,0.0002925530621261,1.3877787807814457e-17,0.0383321609297929,0.0219352642467403,-8.499986201320995e-05,1.3877787807814457e-17
h00,103568543989312214,p1,0.7,1.0,1.4648596137104717,0.3631613311757433,1.127514832257717,-0.0258165497229883,4.440892098500626e-16,1.3405179464622554,0.0829839032423508,0.0206788820029327,0.0
h00,103568543989312214,p1,0.8,1.0,1.5821721235631945,0.4119505474131725,1.2042408308081662,-0.0340192546581436,6.661338147750939e-16,1.5067272694261196,0.0482314175057262,0.0136067183156742,-2.220446049250313e-16
