hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1125400568553395400,European,1.3,9.982358731719071e-09,0.0,6.232370905882139e-16,9.982421764062225e-09,-3.1827790123370066e-14,99.99999999999997
h00,1125400568553395400,East Asian,0.7,2.042040141672755e-05,0.0,0.0,2.0420401416727553e-05,0.0,100.00000000000001
h00,1125400568553395400,East Asian,0.8,6.854758991016923e-06,0.0,0.0,6.854758991016923e-06,0.0,100.0
h00,1125400568553395400,East Asian,0.9,2.3794065186689394e-06,0.0,0.0,2.3794065186689394e-06,0.0,100.0
h00,1125400568553395400,East Asian,1.0,8.457792695812537e-07,0.0,0.0,8.457792695812537e-07,0.0,100.0
h00,1125400568553395400,East Asian,1.1,3.059171670439599e-07,0.0,0.0,3.059171670439599e-07,0.0,100.0
h00,1125400568553395400,East Asian,1.2,1.1210651099718826e-07,0.0,0.0,1.121065109971883e-07,0.0,100.00000000000003
h00,1125400568553395400,East Asian,1.3,4.1496892814614385e-08,0.0,0.0,4.14968928146144e-08,0.0,100.00000000000003
h00,1125644244035275340,African,0.7,0.0001509292321218954,0.0,6.901241092478663e-08,0.00015095864627595,-4.921328248969319e-08,99.99999999999997
h00,1125644244035275340,African,0.8,6.962689269928078e-05,0.0,1.5903178846015476e-08,6.963795408330587e-05,-1.3482281435547438e-08,100.00000000000004
h00,1125644244035275340,African,0.9,3.3453718315216735e-05,0.0,3.6647190558809843e-09,3.345773864508836e-05,-3.842524463750765e-09,100.00000000000001
h00,1125644244035275340,African,1.0,1.6544459761618116e-05,0.0,8.444956752720001e-10,1.6545877861032244e-05,-1.1312975446996194e-09,100.00000000000003
h00,1125644244035275340,African,1.1,8.362880428377643e-06,0.0,1.946050801380368e-10,8.363370191943737e-06,-3.421843231155387e-10,100.00000000000001
h00,1125644244035275340,African,1.2,4.301959426453806e-06,0.0,4.484467869339187e-11,4.302126304495798e-06,-1.0586136034342985e-10,99.99999999999997
h00,1125644244035275340,African,1.3,2.2455653117739384e-06,0.0,1.033398103321393e-11,2.2456217255718307e-06,-3.3373889462732815e-11,100.0
h00,1125644244035275340,European,0.7,0.0002905960907043706,0.0,0.0,0.0002905960907043706,0.0,100.0
h00,1125644244035275340,European,0.8,0.0001837473587774909,0.0,0.0,0.00018374735877749095,0.0,100.00000000000003
h00,1125644244035275340,European,0.9,0.00012379157290203334,0.0,0.0,0.00012379157290203334,0.0,100.0
h00,1125644244035275340,European,1.0,8.604783516192652e-05,0.0,0.0,8.604783516192651e-05,0.0,99.99999999999997
h00,1125644244035275340,European,1.1,6.0780818914126314e-05,0.0,0.0,6.078081891412628e-05,0.0,99.99999999999994
h00,1125644244035275340,European,1.2,4.331510651944321e-05,0.0,0.0,4.331510651944317e-05,0.0,99.99999999999991
