pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p2,C,18,98,384,h00,155683629558891336
p2,Non-ROH,500,0,0,h00,155683629558891336
p3,A,498,2,0,h00,155683629558891336
p3,B,300,200,0,h00,155683629558891336
p3,C,17,136,347,h00,155683629558891336
p3,Non-ROH,500,0,0,h00,155683629558891336
p1,A,429,71,0,h00,1570311740684473341
p1,B,65,418,17,h00,1570311740684473341
p1,C,22,124,354,h00,1570311740684473341
p1,Non-ROH,500,0,0,h00,1570311740684473341
p2,A,468,32,0,h00,1570311740684473341
p2,B,121,379,0,h00,1570311740684473341
p2,C,19,111,370,h00,1570311740684473341
p2,Non-ROH,500,0,0,h00,1570311740684473341
p3,A,482,18,0,h00,1570311740684473341
p3,B,204,296,0,h00,1570311740684473341
p3,C,15,118,367,h00,1570311740684473341
p3,Non-ROH,500,0,0,h00,1570311740684473341
p1,A,444,56,0,h00,1579713873460986888
p1,B,104,382,14,h00,1579713873460986888
p1,C,27,94,379,h00,1579713873460986888
p1,Non-ROH,500,0,0,h00,1579713873460986888
p2,A,491,9,0,h00,1579713873460986888
p2,B,216,284,0,h00,1579713873460986888
p2,C,19,99,382,h00,1579713873460986888
p2,Non-ROH,500,0,0,h00,1579713873460986888
p3,A,497,3,0,h00,1579713873460986888
p3,B,290,210,0,h00,1579713873460986888
p3,C,18,213,269,h00,1579713873460986888
p3,Non-ROH,500,0,0,h00,1579713873460986888
p1,A,457,43,0,h00,1640035823564240350
p1,B,139,343,18,h00,1640035823564240350
p1,C,29,120,351,h00,1640035823564240350
p1,Non-ROH,500,0,0,h00,1640035823564240350
p2,A,493,7,0,h00,1640035823564240350
p2,B,268,232,0,h00,1640035823564240350
p2,C,13,110,377,h00,1640035823564240350
p2,Non-ROH,500,0,0,h00,1640035823564240350
p3,A,491,9,0,h00,1640035823564240350
p3,B,303,197,0,h00,1640035823564240350
p3,C,10,135,355,h00,1640035823564240350
p3,Non-ROH,500,0,0,h00,1640035823564240350
p1,A,388,112,0,h00,1667204476426382146
p1,B,68,420,12,h00,1667204476426382146
p1,C,24,90,386,h00,1667204476426382146
p1,Non-ROH,500,0,0,h00,1667204476426382146
p2,A,489,11,0,h00,1667204476426382146
p2,B,179,321,0,h00,1667204476426382146
p2,C,15,110,375,h00,1667204476426382146
p2,Non-ROH,500,0,0,h00,1667204476426382146
p3,A,486,14,0,h00,1667204476426382146
p3,B,240,260,0,h00,1667204476426382146
p3,C,11,123,366,h00,1667204476426382146
p3,Non-ROH,500,0,0,h00,1667204476426382146
p1,A,463,37,0,h00,1675567405057576839
p1,B,100,382,18,h00,1675567405057576839
p1,C,25,81,394,h00,1675567405057576839
p1,Non-ROH,500,0,0,h00,1675567405057576839
p2,A,498,2,0,h00,1675567405057576839
p2,B,280,220,0,h00,1675567405057576839
p2,C,18,126,356,h00,1675567405057576839
p2,Non-ROH,500,0,0,h00,1675567405057576839
