pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p2,1.3,0.0088923092942217,0.0088923092942217,0.4802207622079622,0.0117381970982002,0.0151265426523198,0.0690312354529953,0.0009192099969015,0.0025977673825477,0.003541768323876,0.0003153806674068,0.0003153806674068,0.4472062340151664,h00,103568543989312214
p3,0.7,0.0601341329863922,0.0601341329863922,0.4039675690942539,0.0357084918877706,0.0383138324976079,0.088261250028854,0.0288109692695205,0.0843749814321674,0.005605087918723,0.0096193069616636,0.0096193069616636,0.5021660929581689,h00,103568543989312214
p3,0.8,0.0402288019060473,0.0402288019060473,0.4212066671445637,0.0264897740175647,0.0284225043106917,0.0923443998885109,0.0191759133596371,0.0561580319817946,0.0059074094559585,0.0056625952371352,0.0056625952371352,0.4805415235109669,h00,103568543989312214
p3,0.9,0.0266589672532795,0.0266589672532795,0.4369250396553671,0.020062847997728,0.0215266609417682,0.0959113998329919,0.0125483709948229,0.0367488007705528,0.0062178716627858,0.0032893845339308,0.0032893845339308,0.4609456888488549,h00,103568543989312214
p3,1.0,0.0177615849490423,0.0177615849490423,0.4510132615028709,0.015706379367977,0.0168523383776578,0.0989828845691872,0.0081551890554634,0.0238830536624285,0.0065273612828769,0.0019163059801748,0.0019163059801748,0.4434764926450646,h00,103568543989312214
p3,1.1,0.0120108726805828,0.0120108726805828,0.4634919447658324,0.0127508806812886,0.0136812024477345,0.1016047103539479,0.0052918200907197,0.0154974731228222,0.0068284841192807,0.0011330947539781,0.0011330947539781,0.4280748607609389,h00,103568543989312214
p3,1.2,0.0082891046833479,0.0082891046833479,0.4744583329317487,0.0107029756666102,0.0114838794706118,0.1038293705645885,0.0034364858866215,0.0100639943822488,0.0071159175941172,0.0006864531868855,0.0006864531868855,0.4145963789095453,h00,103568543989312214
p3,1.3,0.0058536408851182,0.0058536408851182,0.4840480602974978,0.0092342354143391,0.0099079779123811,0.1057086913535409,0.0022351539369996,0.0065458079583562,0.0073862670419925,0.0004294363072763,0.0004294363072763,0.4028569813069687,h00,103568543989312214
p1,0.7,0.0968327747642641,0.0968327747642641,0.2337230380067022,0.0669731145822821,0.1385061007956983,0.0337821074645742,0.0558881533398488,0.1455200973754556,0.0126049173309097,0.0111449880871754,0.0111449880871754,0.7198899371978139,h00,1059344429161942577
p1,0.8,0.0777351653382606,0.0777351653382606,0.2492937143221731,0.0571915215084144,0.1182769338429336,0.0365837154933886,0.0498645494542818,0.129835996692281,0.0140563744601047,0.0070307601722522,0.0070307601722522,0.7000661957243335,h00,1059344429161942577
p1,0.9,0.0610867251375893,0.0610867251375893,0.2640522032246065,0.0477206478441164,0.0986903610733641,0.0391181878415571,0.0425833228151525,0.1108773311036047,0.0153483799813218,0.0041990315001138,0.0041990315001138,0.6814812289525145,h00,1059344429161942577
p1,1.0,0.0477784738096513,0.0477784738096513,0.2777525686125356,0.0394403479593081,0.0815659962052074,0.0413486249071927,0.0353518063270001,0.0920480994929437,0.0164724234196735,0.0024216785231078,0.0024216785231078,0.664426383060598,h00,1059344429161942577
p1,1.1,0.0376236053595393,0.0376236053595393,0.2903055962785327,0.0326076588154901,0.0674354135503328,0.0432735122007541,0.0288900979148362,0.0752232738159886,0.017440106532913,0.0013705912427311,0.0013705912427311,0.6489807849878002,h00,1059344429161942577
p1,1.2,0.0299857046107662,0.0299857046107662,0.3017143049849156,0.0271016080384472,0.0560484319433419,0.0449127115755118,0.0234197005442333,0.0609795976434754,0.0182718654808798,0.0007695534066397,0.0007695534066397,0.6351011179586926,h00,1059344429161942577
p1,1.3,0.0242186023984347,0.0242186023984347,0.312029773392095,0.0226874838981525,0.0469196475510729,0.0462971582180235,0.018914222751888,0.0492483535803877,0.0189896595512176,0.0004318013954946,0.0004318013954946,0.6226834088386638,h00,1059344429161942577
p2,0.7,0.0728383982127469,0.0728383982127469,0.3467797948108266,0.052121405488959,0.0666514136687456,0.0698475723307441,0.0300894624471986,0.1414204735018336,0.0059897213310887,0.0125940634808944,0.0125940634808944,0.5773829115273404,h00,1059344429161942577
p2,0.8,0.0533909502410912,0.0533909502410912,0.3610101289921947,0.0423862914640049,0.0542024187519244,0.075849829753788,0.0253212184176338,0.1190097265628791,0.006730978168489,0.0080955751349949,0.0080955751349949,0.5564090630855281,h00,1059344429161942577
p2,0.9,0.037569709754684,0.037569709754684,0.3744154942122212,0.0333710910115484,0.0426740294265325,0.0815875597154743,0.0205052639098519,0.0963747403763043,0.0074176777335788,0.004924317135968,0.004924317135968,0.5365792683387256,h00,1059344429161942577
p2,1.0,0.0259019400642858,0.0259019400642858,0.386850850918538,0.0258591172450063,0.033067924865737,0.0869210796031381,0.0162514396705531,0.0763817664515998,0.008034775782493,0.0028893977562719,0.0028893977562719,0.5181932936958308,h00,1059344429161942577
p2,1.1,0.0177765066966051,0.0177765066966051,0.3982679558428976,0.0199605877336855,0.0255250482527948,0.0917834690460434,0.0127730364745136,0.0600332714302142,0.0085800629263172,0.0016606837363954,0.0016606837363954,0.5013685121847418,h00,1059344429161942577
p2,1.2,0.0122620620475924,0.0122620620475924,0.4086865919000997,0.015444623336004,0.0197501577186752,0.0961568747420666,0.0100328748968691,0.0471545120152848,0.0090576284182995,0.0009441585700806,0.0009441585700806,0.486098904939534,h00,1059344429161942577
