"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",1,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,13326,0.00000000000000000000000000000000000000000000000000016,0.00000000000000000000000000000000000000000000000000048,"***"
"African",1,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,118147,0.00000000000000000000000000000000000000000000000000000000000000000395,0.0000000000000000000000000000000000000000000000000000000000000000158,"***"
"African",1,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,122733,0.0000000000000000000000000000000000000000000000000000000000000000000000000000348,0.000000000000000000000000000000000000000000000000000000000000000000000000000209,"***"
"African",1,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,122468,0.00000000000000000000000000000000000000000000000000000000000000000000000000016,0.0000000000000000000000000000000000000000000000000000000000000000000000000008,"***"
"African",1,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96510,0.000000000000000000000000103,0.000000000000000000000000103,"***"
"African",1,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,19819,0.000000000000000000000000000000000000000496,0.000000000000000000000000000000000000000992,"***"
"African",1,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,7736,0.000000000000000000000000000000000000000000000000000000000000000113,0.000000000000000000000000000000000000000000000000000000000000000339,"***"
"African",1,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,110421,0.000000000000000000000000000000000000000000000000178,0.000000000000000000000000000000000000000000000000712,"***"
"African",1,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,116938,0.00000000000000000000000000000000000000000000000000000000000000232,0.0000000000000000000000000000000000000000000000000000000000000116,"***"
"African",1,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,125203,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000168,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000101,"***"
"African",1,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,90021,0.0000000000000000234,0.0000000000000000468,"***"
"African",1,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,58343,0.185,0.185,"ns"
"African",1,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,28806,0.000000000000000000000000128,0.000000000000000000000000384,"***"
"African",1.1,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,31466,0.000000000000000000000544,0.00000000000000000000163,"***"
"African",1.1,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,52816,0.002,0.005,"**"
"African",1.1,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,71939,0.004,0.005,"**"
"African",1.1,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125188,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000184,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,119811,0.000000000000000000000000000000000000000000000000000000000000000000000485,0.00000000000000000000000000000000000000000000000000000000000000000000194,"***"
"African",1.1,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,121722,0.0000000000000000000000000000000000000000000000000000000000000000000000000113,0.0000000000000000000000000000000000000000000000000000000000000000000000000565,"***"
"African",1.1,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,123453,0.000000000000000000000000000000000000000000000000000000000000000000000000000000533,0.0000000000000000000000000000000000000000000000000000000000000000000000000000032,"***"
"African",1.1,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,96532,0.0000000000000000000000000962,0.0000000000000000000000000962,"***"
"African",1.1,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,25563,0.00000000000000000000000000000196,0.00000000000000000000000000000392,"***"
"African",1.1,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,11183,0.00000000000000000000000000000000000000000000000000000000501,0.000000000000000000000000000000000000000000000000000000015,"***"
"African",1.1,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,117302,0.000000000000000000000000000000000000000000000000000000000000000346,0.00000000000000000000000000000000000000000000000000000000000000138,"***"
"African",1.1,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,122591,0.0000000000000000000000000000000000000000000000000000000000000000000000000000789,0.000000000000000000000000000000000000000000000000000000000000000000000000000473,"***"
"African",1.1,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,116031,0.000000000000000000000000000000000000000000000000000000000000254,0.000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96496,0.000000000000000000000000108,0.000000000000000000000000108,"***"
"African",1.1,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,17829,0.000000000000000000000000000000000000000000113,0.000000000000000000000000000000000000000000226,"***"
