hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1818297040266038161,p2,0,0,500,0,0,75,425,0,367,90,43,0,0,0,500,0
h00,1818297040266038161,p3,0,0,500,0,0,52,448,0,406,57,37,0,0,0,500,0
h00,1933927514968069182,p1,0,1,499,0,20,261,219,0,387,61,52,0,0,0,500,0
h00,1933927514968069182,p2,0,0,500,0,0,103,397,0,363,95,42,0,0,0,500,0
h00,1933927514968069182,p3,0,0,500,0,0,61,439,0,364,111,25,0,0,0,500,0
h00,197130628104802835,p1,0,1,499,0,11,244,245,0,376,71,53,0,0,0,500,0
h00,197130628104802835,p2,0,0,500,0,0,75,425,0,382,82,36,0,0,0,500,0
h00,197130628104802835,p3,0,0,500,0,0,33,467,0,317,154,29,0,0,0,500,0
h00,2008966820864978262,p1,0,0,500,0,11,250,239,0,367,79,54,0,0,0,500,0
h00,2008966820864978262,p2,0,0,500,0,0,75,425,0,352,106,42,0,0,0,500,0
h00,2008966820864978262,p3,0,0,500,0,0,31,469,0,296,168,36,0,0,0,500,0
h00,2015646299244388232,p1,0,1,499,0,17,219,264,0,366,40,94,0,0,0,500,0
h00,2015646299244388232,p2,0,0,500,0,0,60,440,0,387,35,78,0,0,0,500,0
h00,2015646299244388232,p3,0,0,500,0,0,38,462,0,298,66,136,0,0,0,500,0
h00,2023478822450523661,p1,0,1,499,0,21,273,206,0,371,67,62,0,0,0,500,0
h00,2023478822450523661,p2,0,0,500,0,0,88,412,0,369,96,35,0,0,0,500,0
h00,2023478822450523661,p3,0,0,500,0,1,62,437,0,304,135,61,0,0,0,500,0
h00,2023804910540112922,p1,0,0,500,0,15,256,229,0,361,57,82,0,0,0,500,0
h00,2023804910540112922,p2,0,0,500,0,0,63,437,0,386,70,44,0,0,0,500,0
h00,2023804910540112922,p3,0,0,500,0,0,52,448,0,378,80,42,0,0,0,500,0
h00,2029404602455467623,p1,0,1,499,0,16,249,235,0,374,69,57,0,0,0,500,0
h00,2029404602455467623,p2,0,0,500,0,0,90,410,0,339,121,40,0,0,0,500,0
h00,2029404602455467623,p3,0,0,500,0,0,52,448,0,385,72,43,0,0,0,500,0
h00,2030134370402383281,p1,0,2,498,0,19,270,211,0,365,70,65,0,0,0,500,0
h00,2030134370402383281,p2,0,0,500,0,0,113,387,0,367,97,36,0,0,0,500,0
h00,2030134370402383281,p3,0,0,500,0,0,54,446,0,270,200,30,0,0,0,500,0
h00,2031456289375906414,p1,0,1,499,0,19,241,240,0,359,68,73,0,0,0,500,0
h00,2031456289375906414,p2,0,0,500,0,0,87,413,0,375,91,34,0,0,0,500,0
h00,2031456289375906414,p3,0,0,500,0,0,30,470,0,340,112,48,0,0,0,500,0
h00,2074319997304613406,p1,0,0,500,0,16,262,222,0,344,68,88,0,0,0,500,0
h00,2074319997304613406,p2,0,0,500,0,0,83,417,0,374,72,54,0,0,0,500,0
h00,2074319997304613406,p3,0,0,500,0,0,43,457,0,370,82,48,0,0,0,500,0
h00,20923183537115587,p1,0,0,500,0,13,245,242,0,355,87,58,0,0,0,500,0
h00,20923183537115587,p2,0,0,500,0,0,76,424,0,366,100,34,0,0,0,500,0
h00,20923183537115587,p3,0,0,500,0,0,48,452,0,346,120,34,0,0,0,500,0
h00,2104317743172604597,p1,0,1,499,0,13,239,248,0,351,89,60,0,0,0,500,0
h00,2104317743172604597,p2,0,0,500,0,0,74,426,0,385,65,50,0,0,0,500,0
h00,2104317743172604597,p3,0,0,500,0,0,39,461,0,377,75,48,0,0,0,500,0
h00,2110323454478545514,p1,0,1,499,0,16,240,244,0,377,60,63,0,0,0,500,0
h00,2110323454478545514,p2,0,0,500,0,0,70,430,0,324,119,57,0,0,0,500,0
h00,2110323454478545514,p3,0,0,500,0,0,37,463,0,330,124,46,0,0,0,500,0
h00,2115986567917414732,p1,0,0,500,0,17,232,251,0,372,70,58,0,0,0,500,0
h00,2115986567917414732,p2,0,0,500,0,0,106,394,0,347,118,35,0,0,0,500,0
h00,2115986567917414732,p3,0,0,500,0,0,33,467,0,331,131,38,0,0,0,500,0
h00,215278918430462039,p1,0,0,500,0,16,240,244,0,375,79,46,0,0,0,500,0
h00,215278918430462039,p2,0,0,500,0,0,92,408,0,373,89,38,0,0,0,500,0
h00,215278918430462039,p3,0,0,500,0,0,38,462,0,367,105,28,0,0,0,500,0
h00,2156816541948973614,p1,0,0,500,0,14,288,198,0,372,81,47,0,0,0,500,0
h00,2156816541948973614,p2,0,0,500,0,0,120,380,0,392,69,39,0,0,0,500,0
h00,2156816541948973614,p3,0,0,500,0,0,73,427,0,382,88,30,0,0,0,500,0
h00,2174043611906189471,p1,0,0,500,0,18,216,266,0,367,70,63,0,0,0,500,0
h00,2174043611906189471,p2,0,0,500,0,0,57,443,0,385,73,42,0,0,0,500,0
h00,2174043611906189471,p3,0,0,500,0,0,29,471,0,377,85,38,0,0,0,500,0
h00,217638068633519425,p1,0,0,500,0,18,247,235,0,348,101,51,0,0,0,500,0
h00,217638068633519425,p2,0,0,500,0,0,97,403,0,325,142,33,0,0,0,500,0
h00,217638068633519425,p3,0,0,500,0,0,29,471,0,345,113,42,0,0,0,500,0
h00,2213029515177919753,p1,0,0,500,0,12,261,227,0,343,93,64,0,0,0,500,0
h00,2213029515177919753,p2,0,0,500,0,0,90,410,0,367,76,57,0,0,0,500,0
h00,2213029515177919753,p3,0,0,500,0,0,47,453,0,295,170,35,0,0,0,500,0
h00,2226314848128698481,p1,0,0,500,0,19,226,255,0,376,55,69,0,0,0,500,0
h00,2226314848128698481,p2,0,0,500,0,0,70,430,0,385,85,30,0,0,0,500,0
h00,2226314848128698481,p3,0,0,500,0,0,34,466,0,383,65,52,0,0,0,500,0
h00,2231209458305127871,p1,0,0,500,0,28,245,227,0,379,68,53,0,0,0,500,0
