hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1788482744701747849,p3,0,0,500,0,0,0,500,0,343,45,112,0,0,0,500,0
h00,1789806920600214380,p1,0,0,500,0,17,53,430,0,386,10,104,0,0,0,500,0
h00,1789806920600214380,p2,0,0,500,0,0,0,500,0,364,3,133,0,0,0,500,0
h00,1789806920600214380,p3,0,0,500,0,0,0,500,0,349,13,138,0,0,0,500,0
h00,1816372852695257818,p1,0,0,500,0,17,50,433,0,381,8,111,0,0,0,500,0
h00,1816372852695257818,p2,0,0,500,0,1,0,499,0,373,17,110,0,0,0,500,0
h00,1816372852695257818,p3,0,0,500,0,0,0,500,0,332,15,153,0,0,0,500,0
h00,1818297040266038161,p1,0,0,500,0,17,48,435,0,363,38,99,0,0,0,500,0
h00,1818297040266038161,p2,0,0,500,0,0,1,499,0,367,57,76,0,0,0,500,0
h00,1818297040266038161,p3,0,0,500,0,0,0,500,0,406,39,55,0,0,0,500,0
h00,1933927514968069182,p1,0,0,500,0,20,47,433,0,387,11,102,0,0,0,500,0
h00,1933927514968069182,p2,0,0,500,0,0,0,500,0,363,15,122,0,0,0,500,0
h00,1933927514968069182,p3,0,0,500,0,0,0,500,0,364,15,121,0,0,0,500,0
h00,197130628104802835,p1,0,0,500,0,11,38,451,0,376,30,94,0,0,0,500,0
h00,197130628104802835,p2,0,0,500,0,0,0,500,0,382,65,53,0,0,0,500,0
h00,197130628104802835,p3,0,0,500,0,0,0,500,0,317,114,69,0,0,0,500,0
h00,2008966820864978262,p1,0,0,500,0,11,61,428,0,367,8,125,0,0,0,500,0
h00,2008966820864978262,p2,0,0,500,0,0,1,499,0,352,24,124,0,0,0,500,0
h00,2008966820864978262,p3,0,0,500,0,0,0,500,0,296,11,193,0,0,0,500,0
h00,2015646299244388232,p1,0,0,500,0,17,44,439,0,366,10,124,0,0,0,500,0
h00,2015646299244388232,p2,0,0,500,0,0,0,500,0,387,10,103,0,0,0,500,0
h00,2015646299244388232,p3,0,0,500,0,0,0,500,0,298,30,172,0,0,0,500,0
h00,2023478822450523661,p1,0,0,500,0,21,59,420,0,371,5,124,0,0,0,500,0
h00,2023478822450523661,p2,0,0,500,0,0,0,500,0,369,5,126,0,0,0,500,0
h00,2023478822450523661,p3,0,0,500,0,1,0,499,0,304,6,190,0,0,0,500,0
h00,2023804910540112922,p1,0,0,500,0,15,50,435,0,361,29,110,0,0,0,500,0
h00,2023804910540112922,p2,0,0,500,0,0,1,499,0,386,31,83,0,0,0,500,0
h00,2023804910540112922,p3,0,0,500,0,0,0,500,0,378,21,101,0,0,0,500,0
h00,2029404602455467623,p1,0,0,500,0,16,47,437,0,374,7,119,0,0,0,500,0
h00,2029404602455467623,p2,0,0,500,0,0,1,499,0,339,92,69,0,0,0,500,0
h00,2029404602455467623,p3,0,0,500,0,0,0,500,0,385,28,87,0,0,0,500,0
h00,2030134370402383281,p1,0,0,500,0,19,57,424,0,365,14,121,0,0,0,500,0
h00,2030134370402383281,p2,0,0,500,0,0,0,500,0,367,5,128,0,0,0,500,0
h00,2030134370402383281,p3,0,0,500,0,0,0,500,0,270,23,207,0,0,0,500,0
h00,2031456289375906414,p1,0,0,500,0,19,44,437,0,359,9,132,0,0,0,500,0
h00,2031456289375906414,p2,0,0,500,0,0,0,500,0,375,34,91,0,0,0,500,0
h00,2031456289375906414,p3,0,0,500,0,0,0,500,0,340,40,120,0,0,0,500,0
h00,2074319997304613406,p1,0,0,500,0,16,61,423,0,344,12,144,0,0,0,500,0
h00,2074319997304613406,p2,0,0,500,0,0,0,500,0,374,5,121,0,0,0,500,0
h00,2074319997304613406,p3,0,0,500,0,0,0,500,0,370,8,122,0,0,0,500,0
h00,20923183537115587,p1,0,0,500,0,13,48,439,0,355,8,137,0,0,0,500,0
h00,20923183537115587,p2,0,0,500,0,0,0,500,0,366,27,107,0,0,0,500,0
h00,20923183537115587,p3,0,0,500,0,0,0,500,0,346,20,134,0,0,0,500,0
h00,2104317743172604597,p1,0,0,500,0,13,39,448,0,351,29,120,0,0,0,500,0
h00,2104317743172604597,p2,0,0,500,0,0,0,500,0,385,27,88,0,0,0,500,0
h00,2104317743172604597,p3,0,0,500,0,0,0,500,0,377,14,109,0,0,0,500,0
h00,2110323454478545514,p1,0,0,500,0,16,48,436,0,377,8,115,0,0,0,500,0
h00,2110323454478545514,p2,0,0,500,0,0,1,499,0,324,9,167,0,0,0,500,0
h00,2110323454478545514,p3,0,0,500,0,0,0,500,0,330,11,159,0,0,0,500,0
h00,2115986567917414732,p1,0,0,500,0,17,46,437,0,372,6,122,0,0,0,500,0
h00,2115986567917414732,p2,0,0,500,0,0,1,499,0,347,8,145,0,0,0,500,0
h00,2115986567917414732,p3,0,0,500,0,0,0,500,0,331,2,167,0,0,0,500,0
h00,215278918430462039,p1,0,0,500,0,16,36,448,0,375,44,81,0,0,0,500,0
h00,215278918430462039,p2,0,0,500,0,0,0,500,0,373,47,80,0,0,0,500,0
h00,215278918430462039,p3,0,0,500,0,0,0,500,0,367,62,71,0,0,0,500,0
h00,2156816541948973614,p1,0,0,500,0,14,47,439,0,372,8,120,0,0,0,500,0
h00,2156816541948973614,p2,0,0,500,0,0,1,499,0,392,4,104,0,0,0,500,0
h00,2156816541948973614,p3,0,0,500,0,0,0,500,0,382,5,113,0,0,0,500,0
h00,2174043611906189471,p1,0,0,500,0,18,40,442,0,367,8,125,0,0,0,500,0
h00,2174043611906189471,p2,0,0,500,0,0,1,499,0,385,11,104,0,0,0,500,0
h00,2174043611906189471,p3,0,0,500,0,0,0,500,0,377,10,113,0,0,0,500,0
h00,217638068633519425,p1,0,0,500,0,18,30,452,0,348,8,144,0,0,0,500,0
h00,217638068633519425,p2,0,0,500,0,0,0,500,0,325,8,167,0,0,0,500,0
h00,217638068633519425,p3,0,0,500,0,0,0,500,0,345,5,150,0,0,0,500,0
h00,2213029515177919753,p1,0,0,500,0,12,49,439,0,343,46,111,0,0,0,500,0
h00,2213029515177919753,p2,0,0,500,0,0,0,500,0,367,39,94,0,0,0,500,0
h00,2213029515177919753,p3,0,0,500,0,0,0,500,0,295,138,67,0,0,0,500,0
h00,2226314848128698481,p1,0,0,500,0,19,63,418,0,376,15,109,0,0,0,500,0
h00,2226314848128698481,p2,0,0,500,0,0,1,499,0,385,55,60,0,0,0,500,0
h00,2226314848128698481,p3,0,0,500,0,0,2,498,0,383,17,100,0,0,0,500,0
h00,2231209458305127871,p1,0,0,500,0,28,54,418,0,379,9,112,0,0,0,500,0
